#Effect manifest
A                           noloop
C                           noloop
D#                          noloop
F                           noloop
Crash_BodyHitMetalGate      noloop
explosion_1                 noloop
glass_break_1               noloop
Hit_BodyImpactWall          noloop
Hit_DeepMetalKick           noloop
jump_1                      noloop
Lift_SmallPlatformStart01   noloop
Lift_SmallPlatformStart02   noloop
Magic_SpiritBlast_Ricochet4 noloop
menu_accept                 noloop
Menu_Click01                noloop
Menu_Enter04                noloop
menu_move                   noloop
punch_1                     noloop
punch_2                     noloop
punch_3                     noloop
Punch_Super05               noloop
Scifi_DomeShield_Impact     noloop
Scifi_Forcefield_Impact2    noloop
Scifi_Forcefield_Impact3    noloop
Steam_Burst04               noloop
Switch_Toggle_Cockpit2      noloop
type_single                 noloop
default						noloop
